NewID,OriginalID,Goodsample,Cutoffmanual,gap_manual,species,donor,0h read 1,0h read2,2h read1,2h read2,8h read1,8h read2
StrainAtlasProphage_001,BA-01_A02,1,,,Bifidobacterium_adolescentis,H235,BP3_1_BA-01-0h_A02_R1_001.fastq.gz,BP3_1_BA-01-0h_A02_R2_001.fastq.gz,BP3_1_BA-01-2h_A02_R1_001.fastq.gz,BP3_1_BA-01-2h_A02_R2_001.fastq.gz,BP3_1_BA-01-8h_A02_R1_001.fastq.gz,BP3_1_BA-01-8h_A02_R2_001.fastq.gz
StrainAtlasProphage_002,BA-01_A03,1,,,Bifidobacterium_adolescentis,H255,BP3_1_BA-01-0h_A03_R1_001.fastq.gz,BP3_1_BA-01-0h_A03_R2_001.fastq.gz,BP3_1_BA-01-2h_A03_R1_001.fastq.gz,BP3_1_BA-01-2h_A03_R2_001.fastq.gz,BP3_1_BA-01-8h_A03_R1_001.fastq.gz,BP3_1_BA-01-8h_A03_R2_001.fastq.gz
StrainAtlasProphage_003,BA-01_A04,1,,,Bifidobacterium_adolescentis,H239,BP3_1_BA-01-0h_A04_R1_001.fastq.gz,BP3_1_BA-01-0h_A04_R2_001.fastq.gz,BP3_1_BA-01-2h_A04_R1_001.fastq.gz,BP3_1_BA-01-2h_A04_R2_001.fastq.gz,BP3_1_BA-01-8h_A04_R1_001.fastq.gz,BP3_1_BA-01-8h_A04_R2_001.fastq.gz
StrainAtlasProphage_004,BA-01_A05,1,,,Bifidobacterium_adolescentis,H284,BP3_1_BA-01-0h_A05_R1_001.fastq.gz,BP3_1_BA-01-0h_A05_R2_001.fastq.gz,BP3_1_BA-01-2h_A05_R1_001.fastq.gz,BP3_1_BA-01-2h_A05_R2_001.fastq.gz,BP3_1_BA-01-8h_A05_R1_001.fastq.gz,BP3_1_BA-01-8h_A05_R2_001.fastq.gz
StrainAtlasProphage_005,BA-01_A07,1,,,Bifidobacterium_adolescentis,H348,BP3_1_BA-01-0h_A07_R1_001.fastq.gz,BP3_1_BA-01-0h_A07_R2_001.fastq.gz,BP3_1_BA-01-2h_A07_R1_001.fastq.gz,BP3_1_BA-01-2h_A07_R2_001.fastq.gz,BP3_1_BA-01-8h_A07_R1_001.fastq.gz,BP3_1_BA-01-8h_A07_R2_001.fastq.gz
StrainAtlasProphage_006,BA-01_A08,1,,,Bifidobacterium_adolescentis,H71,BP3_1_BA-01-0h_A08_R1_001.fastq.gz,BP3_1_BA-01-0h_A08_R2_001.fastq.gz,BP3_1_BA-01-2h_A08_R1_001.fastq.gz,BP3_1_BA-01-2h_A08_R2_001.fastq.gz,BP3_1_BA-01-8h_A08_R1_001.fastq.gz,BP3_1_BA-01-8h_A08_R2_001.fastq.gz
StrainAtlasProphage_007,BA-01_A09,1,10,,Bifidobacterium_adolescentis,P77,BP3_1_BA-01-0h_A09_R1_001.fastq.gz,BP3_1_BA-01-0h_A09_R2_001.fastq.gz,BP3_1_BA-01-2h_A09_R1_001.fastq.gz,BP3_1_BA-01-2h_A09_R2_001.fastq.gz,BP3_1_BA-01-8h_A09_R1_001.fastq.gz,BP3_1_BA-01-8h_A09_R2_001.fastq.gz
StrainAtlasProphage_008,BA-01_A10,1,,,Bifidobacterium_adolescentis,H89,BP3_1_BA-01-0h_A10_R1_001.fastq.gz,BP3_1_BA-01-0h_A10_R2_001.fastq.gz,BP3_1_BA-01-2h_A10_R1_001.fastq.gz,BP3_1_BA-01-2h_A10_R2_001.fastq.gz,BP3_1_BA-01-8h_A10_R1_001.fastq.gz,BP3_1_BA-01-8h_A10_R2_001.fastq.gz
StrainAtlasProphage_009,BA-01_A11,1,,,Bifidobacterium_adolescentis,H94,BP3_1_BA-01-0h_A11_R1_001.fastq.gz,BP3_1_BA-01-0h_A11_R2_001.fastq.gz,BP3_1_BA-01-2h_A11_R1_001.fastq.gz,BP3_1_BA-01-2h_A11_R2_001.fastq.gz,BP3_1_BA-01-8h_A11_R1_001.fastq.gz,BP3_1_BA-01-8h_A11_R2_001.fastq.gz
StrainAtlasProphage_010,BA-01_A12,1,,,Bifidobacterium_adolescentis,H89,BP3_1_BA-01-0h_A12_R1_001.fastq.gz,BP3_1_BA-01-0h_A12_R2_001.fastq.gz,BP3_1_BA-01-2h_A12_R1_001.fastq.gz,BP3_1_BA-01-2h_A12_R2_001.fastq.gz,BP3_1_BA-01-8h_A12_R1_001.fastq.gz,BP3_1_BA-01-8h_A12_R2_001.fastq.gz
