Ratio of isolates with the defense system,AbiN,DmdDE,AbiP2,PD-T4-1,PD-T7-4,PD-T7-3,Tiamat,Hna,MqsRAC,AbiA,Phrann_gp29_gp30,Dodola,Dazbog,Menshen,Olokun,PD-T4-9,AbiR,RADAR,Pycsar,dGTPase,Borvo,RM,Uzume,Aditi,Retron,Dnd,Gao_Ppl,NLR,Butters_gp30_gp31,FS_HP_SDH_sah,Bunzi,SpbK,Rst_TIR-NLR,Rst_gop_beta_cll,RosmerTA,Dsr,RexAB,Stk2,MazEF,PD-T4-8,AbiE,SanaTA,Rst_RT-nitrilase-Tm,PD-Lambda-6,Avs,Gabija,PD-Lambda-4,DRT,RloC,Gao_RL,Paris,AbiI,GAPS4,Abi2,DarTG,Gao_Tmn,Druantia,Shango,Mok_Hok_Sok,Lamassu-Fam,SEFIR,FS_GIY_YIG,PD-Lambda-3,PD-T7-1,Hachiman,FS_HsdR_like,MADS,PD-Lambda-1,PrrC,AbiG,Gao_Hhe,PD-T7-5,Gao_Qat,Eleos,Shedu,Rst_HelicaseDUF2290,DISARM,PD-T4-4,Lit,PfiAT,SspBCDE,RnlAB,BstA,ShosTA,GAPS1,Nhi,AbiV,Thoeris,CBASS,PD-T4-2,Gao_Her,PD-T4-3,AbiC,Septu,Azaca,Dpd,Gao_Iet,PD-T4-10,AbiU,GAPS6,AbiK,Butters_gp57r,AbiL,Rst_Hydrolase-3Tm,BREX,Kiwa,dCTPdeaminase,FS_Sma,pAgo,AbiZ,AbiT,AbiQ,JukAB,AbiH,PD-T7-2,CapRel,SoFIC,Old_exonuclease,Mokosh,Zorya,PD-Lambda-5,PD-T4-6,Rst_DUF4238,PD-Lambda-2,AbiJ,PsyrTA,Rst_3HP,AbiO,Gao_Ape,AbiD,Gao_Mza,CasFinder,Detocs,Pif,PD-T4-5,PD-T4-7,Wadjet
Adlercreutzia_hattorii,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0.23076923076923078,0,0,0,0,0,0,0,0,0,1.0,0,0,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7692307692307693,0,0,0,0,0,0,0.23076923076923078,0,0,0,0,0,0.8461538461538461,0,0,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3076923076923077,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,1.0,0.5384615384615384,0,0,0,0,0,0,0,0.3076923076923077,0,0,0.23076923076923078,0,0.15384615384615385,0,0.23076923076923078,0,0,0,0,0
Eggerthella_lenta,0,0,0,0,0,0,0,0,0,0,0,0.07339449541284404,0,0,0,0,0,0,0,0,0,0.9770642201834863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2981651376146789,0,0.963302752293578,0.11467889908256881,0,0,0,0.0045871559633027525,0,0.009174311926605505,0,0,0,0,0,0.8027522935779816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045871559633027525,0,0,0,0,0,0,0,0.03211009174311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06880733944954129,0,0,0,0,0,0,0,0,0.013761467889908258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41743119266055045,0,0.3669724770642202,0,0.7935779816513762,0,0,0,0,0.2798165137614679
Collinsella_sp019414545,0,0.043478260869565216,0,0,0,0,0,0,0,0,0,0.043478260869565216,0,0,0,0,0,0,0,0,0,0.7391304347826086,0,0,0.391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0.08695652173913043,0,0,0.043478260869565216,0,0,0,0,0.08695652173913043,0,0.2608695652173913,0,0,0,0,0,0.17391304347826086,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,0,0,0,0,0.043478260869565216,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,0,0,0,0.08695652173913043,0,0,0.17391304347826086,0,0,0,0,0,0,0,0,0,0,0,0,0.13043478260869565,0,0.043478260869565216,0,0,0,0,0
Collinsella_sp900541125,0,0.015410958904109588,0,0,0,0,0,0.015410958904109588,0,0,0,0.003424657534246575,0,0,0,0,0.0017123287671232876,0,0.00684931506849315,0,0,0.9092465753424658,0,0,0.10445205479452055,0,0,0,0,0,0,0.0136986301369863,0,0,0.0136986301369863,0,0,0.011986301369863013,0,0,0.011986301369863013,0.05650684931506849,0,0,0.02226027397260274,0.06164383561643835,0,0.08561643835616438,0.0017123287671232876,0,0.018835616438356163,0,0,0.238013698630137,0,0,0,0.9863013698630136,0,0.02910958904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136986301369863,0,0,0,0,0,0,0,0,0,0,0,0.0017123287671232876,0.05821917808219178,0.04965753424657534,0,0,0,0,0.0017123287671232876,0,0,0.0017123287671232876,0,0.053082191780821915,0,0,0,0.032534246575342464,0,0.1917808219178082,0,0,0,0,0,0,0,0,0.1969178082191781,0.0273972602739726,0.023972602739726026,0.690068493150685,0,0,0,0,0,0,0,0.02226027397260274,0,0,0,0,0.21404109589041095,0,0.1113013698630137,0,0,0,0,0
Collinsella_sp900541745,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0,0.027777777777777776,0,0,0.9583333333333334,0,0,0.06944444444444445,0,0,0,0,0,0,0.013888888888888888,0,0,0.08333333333333333,0,0,0,0,0,0.09722222222222222,0.013888888888888888,0,0,0,0.1527777777777778,0,0.08333333333333333,0,0,0.041666666666666664,0,0,0.4166666666666667,0,0,0,0.9861111111111112,0,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0,0,0,0,0,0,0,0,0.013888888888888888,0,0,0,0.041666666666666664,0.1111111111111111,0,0,0,0,0.06944444444444445,0,0,0,0,0.125,0,0,0,0.05555555555555555,0,0.3055555555555556,0,0,0,0,0,0,0,0,0.3888888888888889,0,0.06944444444444445,0.1111111111111111,0,0,0,0,0,0,0,0.027777777777777776,0,0,0,0,0.6805555555555556,0,0.18055555555555555,0,0,0,0,0
Collinsella_sp900540945,0,0.46153846153846156,0,0,0,0,0,0,0,0,0,0.02564102564102564,0,0,0,0,0.05128205128205128,0,0,0,0,0.9743589743589743,0,0,0.02564102564102564,0,0,0,0,0,0,0,0,0,0.23076923076923078,0,0,0.02564102564102564,0,0,0.4358974358974359,0,0,0,0.02564102564102564,0,0,0.2564102564102564,0,0,0,0,0,0.3076923076923077,0,0,0,0.9743589743589743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564102564102564,0,0,0,0,0,0,0,0,0,0,0.1282051282051282,0,0,0,0,0,0,0,0,0.1794871794871795,0,0,0.28205128205128205,0,0,0,0,0,0,0,0,0,0,0,0,0.46153846153846156,0,0.5641025641025641,0,0,0,0,0
Bifidobacterium_adolescentis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9247824285122255,0,0,0,0,0,0,0.042271031910484876,0,0,0,0,0,0.0370907583920431,0,0,0,0,0,0,0,0,0,0,0.02382925818483216,0,0,0.011603812681309573,0,0.10712805636137589,0,0,0.023207625362619146,0,0,0.0006216328222130128,0.00020721094073767094,0,0.15354330708661418,0,0,0,0,0,0,0,0.004765851636966432,0,0,0,0,0,0,0.019270617488603398,0,0.016784086199751348,0,0,0,0,0,0,0,0,0,0,0.0010360547036883548,0.003937007874015748,0,0,0,0,0.12225445503522586,0,0,0,0,0,0,0,0,0,0,0.2161210111893908,0,0,0,0,0,0,0,0,0.052217157065893076,0.02403646912556983,0.22565271446332366,0.010982179859096561,0,0,0,0.05200994612515541,0,0,0,0,0,0,0,0,0.3097803564028181,0,0.5764608371322005,0,0,0,0,0.9846663903854124
Bifidobacterium_catenulatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9479768786127167,0,0,0,0,0,0,0,0,0,0,0,0,0.017341040462427744,0,0,0,0.12138728323699421,0,0,0,0,0,0,0.13872832369942195,0,0,0,0,0,0,0,0.24277456647398843,0,0,0.08670520231213873,0,0,0.6994219653179191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011560693641618497,0,0.023121387283236993,0,0,0,0,0,0,0,0,0,0,0.005780346820809248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08092485549132948,0,0,0,0,0,0,0,0,0.21965317919075145,0.005780346820809248,0.1329479768786127,0.005780346820809248,0,0,0,0.09826589595375723,0,0,0,0,0,0,0,0,0.5664739884393064,0,0.7398843930635838,0,0,0,0,0.9710982658959537
Bifidobacterium_pseudocatenulatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8720238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0.13095238095238096,0,0,0.002976190476190476,0.020833333333333332,0,0,0,0,0,0,0.3333333333333333,0,0,0.05654761904761905,0,0,0,0,0.13392857142857142,0,0,0.044642857142857144,0.002976190476190476,0,0.01488095238095238,0,0,0,0,0,0,0,0.005952380952380952,0,0,0,0,0,0,0.09523809523809523,0,0.002976190476190476,0,0,0,0,0,0,0,0,0,0,0.19047619047619047,0.07142857142857142,0.008928571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21428571428571427,0,0,0,0,0,0,0,0,0.31845238095238093,0.05357142857142857,0,0.05357142857142857,0,0,0,0.0625,0,0,0,0,0,0,0,0,0.6904761904761905,0,0.9345238095238095,0,0,0,0,0.9434523809523809
Bifidobacterium_dentium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0.6739130434782609,0,0,0,0,0,0,0,0,0,0,0.08695652173913043,0,0,0.13043478260869565,0,0,0,0,0.043478260869565216,0,0,0.13043478260869565,0,0,0,0,0,0,0,0.021739130434782608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021739130434782608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32608695652173914,0,0,0,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,0,0,0,0.717391304347826,0,0.9782608695652174,0,0,0,0,0.9565217391304348
